Site,Platform,ElementType,Label,Description,ByType,By
All,All,Label,vip_lblPageClass,the page class,xpath,"//html[@data-locale='es_MX']"
All,All,TextField,vip_txfMyAdsTitle,the textfield of my ads on new VIP,xpath,"//span[@class='ad-title']"
All,All,TextField,vip_txfMyAdsHeadTitle,the title of my ads on new VIP under search bar,xpath,"//div[@class='header-text']/h1"
All,All,TextField,vip_txfMyAdsPrice,the amout of my ads price on new VIP,xpath,"//div[@class='item-details']//span[@class='ad-price']"
All,All,Link,vip_lnkFaceBook,the link of facebook in share to social,xpath,"//span[@class='icon-seo-facebook sm-icons']"
All,All,Label,vip_lblSellernameNew,the link of the seller name,xpath,"//span[@class='user-fname']"
All,All,Label,vip_picSellerImage,the seller image,xpath,"//div[@class='seller-pic']//img"
All,All,Label,vip_lblSellerEmailVerified,the seller email verified label,xpath,"//div[@class='email-icon icon-email-verified']"
All,All,TextField,vip_txfSellerPostedAdCount,the count number of the current seller posted ad,xpath,"//span[@class='user-ads-posted']"
All,All,TextField,vip_txfSellerActiveAdCount,the count number of the current seller active ad,xpath,"//span[@class='user-active']"
mx_vns,All,Button,vip_btnFavorite,the button of add ad to favorite,xpath,"//div[@class='edit-favorite']/span"
za,All,Button,vip_btnFavorite,the button of add ad to favorite,xpath,"//span[contains(@class,'starIcon')]"
All,landscape,TextField,vip_txfEmailContact,text prompt to contact seller by email ,xpath,"//div[@class='usr-interactions']//span[@data-shortname-text='E-mail']"
All,portrait,TextField,vip_txfEmailContact,text prompt to contact seller by email ,xpath,"//div[@class='reply_controls clearfix email-only cloned']//span[@data-shortname-text='E-mail']"
All,All,Label,vip_pnlEmailContact,whole panel of email contact,xpath,"//div[@class='vip vip-contact']"
All,All,TextField,vip_txfAdDescription,the current ad description on new VIP,xpath,"//div[@class='ad-description']"
All,All,Label,vip_lblReportAd,label to report the current ad,xpath,"//div[@class='unreported-ad flagad-container']/a[1]/span[2]"
All,All,Label,vip_lblAdBeenReported,label that the current has been reported,xpath,"//span[contains(text(),'Anuncio reportado')]"
All,landscape,Label,vip_lblReportAdModal,the overlay to report the current ad,xpath,"//div[@id='flagAdModal']//span[@class='desktop-message-text']"
All,portrait,Label,vip_lblReportAdModal,the screen takeover to report the current ad,xpath,"//section[@class='screen-takeover mobile-only']//p[@class='screen-takeover-title']"
All,All,Label,vip_lblReportCaptcha,the captcha to report the current ad,xpath,"//div[@id='g-recaptcha']"
All,landscape,Button,vip_btnCancelReportAd,cancel report ad,xpath,"//div[@class='vip vip-flagad desktop-only']//span[@class='close-text']"
All,portrait,Button,vip_btnCancelReportAd,cancel report ad,xpath,"//section[@class='screen-takeover mobile-only']//span[@class='close-text']"
All,All,TextField,vip_txfReportModalAdTitle,the ad title in report ad modal,xpath,"//div[@class='details']/p[1]"
All,All,TextField,vip_txfReportModalAdPrice,the ad price in report ad modal,xpath,"//div[@class='details']//span[@class='ad-price']"
All,All,Label,vip_pnlSimilarAds,whole panel of similar ads,xpath,"//div[@class='vip-similar-ads bottom']"
All,All,Label,vip_pnlMobileEmailContact,whole panel of email contact on mobile,xpath,"//div[@class='reply_controls clearfix email-only cloned']"
All,landscape,Button,vip_lnkSubmitReply,button to submit reply,xpath,"//button[@id='vip-send-button']"
All,portrait,Button,vip_lnkSubmitReply,button to submit reply,xpath,"//section[contains(@class,'mobile')]//button[@id='vip-send-button']"
All,All,Label,vip_chbContact,the first checkbox that contact me,xpath,//ul[@class='canned-responses']/li[1]//input
All,All,Label,vip_chbContactNew,the first checkbox that contact me,xpath,//div[@class='reply-form-content']/div[2]
All,All,Link,vip_lnkEditMyAds,the link of edit ads on new VIP,xpath,"//div[@class='edit-favorite']/a[1]"
All,All,Label,vip_postSuccessText,the text on post success window,xpath,"//div[@class='post-overlay modal desktop-only']//div[@class='modal-header-message']"
All,All,Label,vip_lblReplySuccessIcon,the green icon after reply successfully,xpath,//span[@class='icon-checkmark_icon_zSRP']
All,landscape,TextField,vip_txfReplyEmail,the email input for buyer when non login,xpath,"//div[@class='reply-form-container ']//input[@name='email']"
All,portrait,TextField,vip_txfReplyEmail,the email input for buyer when non login,xpath,"//form[@id='replyForm']//input[@name='email']"
All,All,TextField,vip_txfL1Category,textfield to show L1 category,xpath,"//div[@class='breadcrumbs ']/span[4]"
All,landscape,TextField,vip_txfL3Category,L3 category field,xpath,"//div[contains(@class,'revip-back-to-search')]//span[contains(text(),'Traspasos')]/.."
All,portrait,TextField,vip_txfL3Category,L3 category field,xpath,"//div[contains(@class,'revip-back-to-search')]//span[contains(text(),'Traspasos')]/.."
