Site,Platform,ElementType,Label,Description,ByType,By
mx_vns,All,Label,reply_lblSimilarAds,the label of similar ads in after reply page,xpath,"//div[@class='expired-ad-related']"
mx_vns,All,Link,reply_lnkCatLocSimilarAds,the link of similar ads in after reply page,xpath,"//div[@class='expired-ad-related']/a"
mx_vns,All,Label,reply_lblAfterReplyMsg,the message displayed in after reply page for login user,xpath,"//div[@class='detail']"
mx_vns,All,Link,reply_lnkAfterReplySeller,the seller name within message in after reply page,xpath,"//div[@class='detail']/a[1]"
mx_vns,All,Link,reply_lnkAfterReplyAdLink,the ad vip url within message in after reply page,xpath,"//div[@class='detail']/a[2]"
mx_vns,All,Label,reply_lblAfterReplyRegisterTip,the register tips message in after reply page,xpath,"//div[@class='login-basic-wrapper']/div[@class='register-tips']"
mx_vns,All,Label,reply_lblAfterReplyRegisterConfirm,the message after register success in after reply page,xpath,"//div[@class='registration-confirm']/h1"
mx_vns,All,Label,reply_lblAfterReplyRegisterConfirmHeader,the message header after register success in after reply page,xpath,"//div[@class='registration-confirm']/div[1]"
mx_vns,All,Label,reply_lblAfterReplyRegisterConfirmContent,the message content after register success in after reply page,xpath,"//div[@class='registration-confirm']/div[2]"
mx_vns,All,Link,reply_lnkCreateAccount,the link to create account in after reply page,xpath,"//a[@id='loginFormReplyPage']"
mx_vns,All,Label,reply_lblLoginSuccessTitle,the title message after login success in after reply page,xpath,"//div[@class='login-success-title']"
mx_vns,All,Label,reply_lblLoginSuccessContent,the message after login success in after reply page,xpath,"//div[@class='login-success-content']"
mx_vns,All,Label,reply_lblLoginSuccessSeller,the soi page link after login success in after reply page,xpath,"//div[@class='login-success-content']/a[1]"
mx_vns,All,Label,reply_lblLoginSuccessAdLink,the ads link after login success in after reply page,xpath,"//div[@class='login-success-content']/a[2]"
